Transaction_Ref,Sender_BIC,Receiver_BIC,Amount,Currency,Transaction_Date,Beneficiary_Name,Beneficiary_Account,Payment_Purpose
TRX84502,ABCDUS33XXX,EFGHIN22XXX,34659.82,JPY,15-04-2025,Rhonda Wong,OPGV36118562156914,Prevent together only.
TRX49611,ABCDUS33XXX,EFGHIN22XXX,9201.8,INR,07-04-2025,Erik Ferguson,GXRE13287884229112,Attack positive.
TRX12478,ABCDUS33XXX,EFGHIN22XXX,93977.5,GBP,25-01-2025,Valerie King,BFNQ73944995276972,Senior change.
TRX14286,ABCDUS33XXX,EFGHIN22XXX,826.94,INR,02-03-2025,Dawn Pham,KSQS10170083915944,Whole single agree evening especially.
TRX81540,ABCDUS33XXX,EFGHIN22XXX,41277.66,GBP,05-07-2025,Elizabeth Oliver,QYZS09876278781751,Particular join nor many.
TRX22474,ABCDUS33XXX,EFGHIN22XXX,24857.57,JPY,03-01-2025,Samantha Curry,KLQL60680279462996,Share first finish tax surface.
TRX73935,ABCDUS33XXX,EFGHIN22XXX,90600.84,EUR,11-04-2025,Donald Mayer,OPSK77701248062088,Sister land affect task about.
TRX91987,ABCDUS33XXX,EFGHIN22XXX,87507.08,USD,08-07-2025,Felicia Poole,FCFJ63984199403301,Way drive summer.
TRX53118,ABCDUS33XXX,EFGHIN22XXX,41502.67,GBP,10-04-2025,Denise Vargas,AOMQ34472522313731,Trial down those.
TRX86879,ABCDUS33XXX,EFGHIN22XXX,74343.94,INR,04-04-2025,Craig Parker,DHPL61780844589002,Card husband school prove.
TRX12144,ABCDUS33XXX,EFGHIN22XXX,89647.7,EUR,03-03-2025,John Walker,VVJM90240247387793,Commercial involve free ask.
TRX64701,ABCDUS33XXX,EFGHIN22XXX,31315.69,EUR,09-01-2025,Amber Cisneros,DMUH71883337236843,Stop face ready.
TRX56693,ABCDUS33XXX,EFGHIN22XXX,24966.88,USD,25-03-2025,Sean Ingram,LWDZ01529655324919,Green college kitchen business occur.
TRX92798,ABCDUS33XXX,EFGHIN22XXX,61436.69,JPY,02-07-2025,Craig Jones,UBFN65162188449130,War nothing affect about fine.
TRX28262,ABCDUS33XXX,EFGHIN22XXX,16286.37,JPY,15-06-2025,Robert Delgado,MPNV77693183803511,Lose toward too away road.
TRX78820,ABCDUS33XXX,EFGHIN22XXX,5276.86,JPY,25-05-2025,Christopher Webb,JYEA28119401636097,Minute carry lawyer hour.
TRX77288,ABCDUS33XXX,EFGHIN22XXX,10359.64,USD,22-04-2025,Jordan Smith,XEEZ68280483194729,Hear memory price.
TRX55266,ABCDUS33XXX,EFGHIN22XXX,70245.75,EUR,19-04-2025,Leon Koch,YNYO13835393575438,Foreign born save though.
TRX99643,ABCDUS33XXX,EFGHIN22XXX,21529.59,USD,03-03-2025,Sandra Clark,UASV57610569550316,South significant.
TRX76095,ABCDUS33XXX,EFGHIN22XXX,50937.32,USD,26-05-2025,Austin Herrera,VYGD97866026575563,Upon and our within order.
,,,,,,,,
